survey=ada_a5_e5c_geometry_ablation
label,key_count,tokens_pruned_legacy,tokens_pruned_v2,total,legacy_exact,v2_exact,v2_gain
natural-305-a1.5-p16-l8,128,0,0,128,true,true,0
natural-306-a1.5-p16-l8,256,0,0,256,true,true,0
natural-307-a1.5-p16-l8,512,0,0,512,true,true,0
natural-308-a1.5-p16-l8,64,0,0,64,true,true,0
natural-309-a1.5-p16-l8,128,0,0,128,true,true,0
natural-310-a1.5-p16-l8,256,0,0,256,true,true,0
natural-311-a1.5-p16-l8,512,0,0,512,true,true,0
natural-312-a1.5-p16-l8,64,0,0,64,true,true,0
natural-313-a1.5-p16-l8,128,0,0,128,true,true,0
natural-314-a1.5-p16-l8,256,0,0,256,true,true,0
natural-315-a1.5-p16-l8,512,0,0,512,true,true,0
natural-316-a1.5-p16-l8,64,0,0,64,true,true,0
natural-317-a1.5-p16-l8,128,0,0,128,true,true,0
natural-318-a1.5-p16-l8,256,0,0,256,true,true,0
natural-319-a1.5-p16-l8,512,0,0,512,true,true,0
natural-320-a1.5-p16-l8,64,0,0,64,true,true,0
natural-321-a1.5-p16-l8,128,8,8,128,true,true,0
natural-322-a1.5-p16-l8,256,24,40,256,true,true,16
natural-323-a1.5-p16-l8,512,184,208,512,true,true,24
natural-324-a1.5-p16-l8,64,0,0,64,true,true,0
natural-325-a1.5-p16-l8,128,24,16,128,true,true,-8
natural-326-a1.5-p16-l8,256,88,96,256,true,true,8
natural-327-a1.5-p16-l8,512,176,208,512,true,true,32
natural-328-a1.5-p16-l8,64,0,0,64,true,true,0
natural-329-a1.5-p16-l8,128,0,0,128,true,true,0
natural-330-a1.5-p16-l8,256,16,16,256,true,true,0
natural-331-a1.5-p16-l8,512,96,120,512,true,true,24
natural-332-a1.5-p16-l8,64,0,0,64,true,true,0
natural-333-a1.5-p16-l8,128,0,0,128,true,true,0
natural-334-a1.5-p16-l8,256,0,0,256,true,true,0
natural-335-a1.5-p16-l8,512,0,0,512,true,true,0
natural-336-a1.5-p16-l8,64,0,0,64,true,true,0
natural-337-a1.5-p16-l8,128,0,0,128,true,true,0
natural-338-a1.5-p16-l8,256,0,0,256,true,true,0
natural-339-a1.5-p16-l8,512,0,0,512,true,true,0
natural-340-a1.5-p16-l8,64,0,0,64,true,true,0
natural-341-a1.5-p16-l8,128,8,8,128,true,true,0
natural-342-a1.5-p16-l8,256,0,0,256,true,true,0
natural-343-a1.5-p16-l8,512,40,40,512,true,true,0
natural-344-a1.5-p16-l8,64,0,0,64,true,true,0
